"myData0"	"myData1"	"myData2"
3.575149999E-2	-1.073599979E-2	""
3.600550001E-2	-1.006500050E-2	""
3.621300001E-2	-9.576999582E-3	""
3.642949997E-2	-9.638000280E-3	""
3.942600003E-2	-1.085800026E-2	""
3.969116666E-2	-9.759999812E-3	""
4.067858332E-2	-8.906000294E-3	""
7.797425002E-2	-9.515999816E-3	""
7.825116668E-2	-9.759999812E-3	""
7.850154169E-2	-9.394000284E-3	""
9.965574997E-2	-1.024799980E-2	""
9.990283335E-2	-1.110200025E-2	""
1.005942917E-1	-1.116300002E-2	""
1.298534166E-1	-1.030899957E-2	""
1.300740833E-1	-1.079699956E-2	""
1.305465833E-1	-1.079699956E-2	""
1.601449584E-1	-1.006500050E-2	""
1.604265833E-1	-1.037000027E-2	""
1.606846667E-1	-1.024799980E-2	""
1.612742917E-1	-1.006500050E-2	""
1.896421250E-1	-9.088999592E-3	""
1.899316667E-1	-1.104100049E-2	""
1.906730000E-1	-1.024799980E-2	""
2.201152917E-1	-1.006500050E-2	""
2.204679167E-1	-9.759999812E-3	""
2.209262917E-1	-1.000399981E-2	""
2.544740417E-1	-9.272000752E-3	""
2.546876667E-1	-1.024799980E-2	""
2.550537083E-1	-1.079699956E-2	""
2.815836250E-1	-9.394000284E-3	""
2.818616666E-1	-9.759999812E-3	""
2.820800833E-1	-9.759999812E-3	""
3.099777917E-1	-9.150000289E-3	""
3.102614167E-1	-1.073599979E-2	""
3.105684167E-1	-9.272000752E-3	""
3.111380833E-1	-1.037000027E-2	""
3.396521666E-1	-9.333000518E-3	""
3.399558333E-1	-1.037000027E-2	""
3.406895833E-1	-9.211000055E-3	""
3.694567500E-1	-9.882000275E-3	""
3.697806667E-1	-8.906000294E-3	""
3.704911250E-1	-1.079699956E-2	""
3.996519583E-1	-9.150000289E-3	""
3.999063750E-1	-1.085800026E-2	""
4.004912917E-1	-1.006500050E-2	""
4.298089583E-1	-1.238299999E-2	""
4.300974584E-1	-1.085800026E-2	""
4.304265417E-1	-1.049200073E-2	""
4.596875000E-1	-1.046760008E-1	""
4.600281666E-1	1.418859959E-1	""
4.603018750E-1	6.722199917E-2	""
4.614300833E-1	3.080500104E-2	""
4.896313750E-1	1.329800021E-2	""
4.899101667E-1	4.073579907E-1	""
4.907679167E-1	1.644560099E-1	""
5.208594167E-1	9.558699727E-1	""
5.211261667E-1	9.038370252E-1	""
5.213913750E-1	8.829750419E-1	""
5.498385417E-1	8.471680284E-1	""
5.501481250E-1	7.734799981E-1	""
5.507463750E-1	1.257819980E-1	""
5.797359583E-1	-2.191729993E-1	""
5.799832917E-1	-2.923730016E-1	""
5.806727917E-1	-2.385710031E-1	""
6.098502083E-1	-4.273049831E-1	""
6.101447084E-1	-6.497110128E-1	""
6.106270417E-1	-7.764689922E-1	""
6.112987500E-1	-9.629459977E-1	""
6.397010000E-1	-1.052433014E0	""
6.399876250E-1	-9.758170247E-1	""
6.405955000E-1	-8.822429776E-1	""
6.695823334E-1	-8.630279899E-1	""
6.698556667E-1	-8.958460093E-1	""
6.707892917E-1	-7.656719685E-1	""
6.997513333E-1	-6.005449891E-1	""
7.000354583E-1	-4.806799889E-1	""
7.005962917E-1	-4.582319856E-1	""
7.298020000E-1	-4.067480266E-1	""
7.301015834E-1	-3.629500270E-1	""
7.306737500E-1	-2.591280043E-1	""
7.599753750E-1	-1.927600056E-1	""
7.602291667E-1	-5.050799996E-2	""
7.604898333E-1	8.997499943E-2	""
7.613235833E-1	1.539639980E-1	""
7.896172500E-1	2.492460012E-1	""
7.899006667E-1	3.939989805E-1	""
7.909117083E-1	5.242339969E-1	""
8.197668333E-1	6.983280182E-1	""
8.201034584E-1	8.611370325E-1	""
8.204814167E-1	9.619700313E-1	""
8.497474584E-1	1.087203026E0	""
8.500572500E-1	1.133197069E0	""
8.506962917E-1	1.030228972E0	""
8.796752917E-1	1.012295008E0	""
8.800238750E-1	8.125200272E-1	""
8.802930416E-1	6.846640110E-1	""
8.814062917E-1	6.555669904E-1	""
9.097000833E-1	4.888539910E-1	""
9.099867500E-1	3.676469922E-1	""
9.111275000E-1	2.095350027E-1	""
9.397002917E-1	1.445700079E-1	""
9.400054583E-1	1.127890050E-1	""
9.406117083E-1	5.367999896E-3	""
9.696112917E-1	-1.266970038E-1	""
9.698787500E-1	-3.118930161E-1	""
9.706427084E-1	-4.534739852E-1	""
9.998297084E-1	-6.635580063E-1	""
1.000181833E0	-8.219750524E-1	""
1.000772500E0	-9.364719987E-1	""
1.029808333E0	-1.037670970E0	""
1.030154792E0	-1.100500941E0	""
1.030472750E0	-9.706320167E-1	""
1.031359917E0	-1.050237060E0	""
1.059798083E0	-9.455000162E-1	""
1.060209833E0	-7.836669683E-1	""
1.060938875E0	-7.014390230E-1	""
1.089611875E0	-5.899310112E-1	""
1.090006125E0	-4.303550124E-1	""
1.090780833E0	-3.993670046E-1	""
1.119865875E0	-3.342190087E-1	""
1.120261417E0	-2.965820134E-1	""
1.120788458E0	-1.992869973E-1	""
1.149832750E0	-8.930400014E-2	""
1.150193667E0	6.136599928E-2	""
1.150784875E0	1.168759987E-1	""
1.179764083E0	2.013610005E-1	""
1.180136833E0	3.420880139E-1	""
1.180465292E0	4.806799889E-1	""
1.181368208E0	6.533100009E-1	""
1.239827667E0	8.311860561E-1	""
1.240197708E0	9.673990011E-1	""
