temps_s	angle_deg
0.000	0.00
0.000	0.00
0.050	0.00
0.100	0.00
0.151	0.00
0.201	0.00
0.251	0.00
0.303	0.00
0.353	0.00
0.403	0.00
0.454	0.00
0.504	0.00
0.555	0.00
0.606	0.00
0.656	0.00
0.706	0.00
0.757	0.00
0.807	0.00
0.858	0.00
0.909	0.00
0.959	0.00
1.009	0.00
1.060	0.00
1.111	0.00
1.161	0.00
1.212	0.00
1.262	0.00
1.313	0.00
1.363	0.00
1.414	0.00
1.465	0.00
1.515	0.00
1.566	0.00
1.616	0.00
1.667	0.00
1.718	0.00
1.768	0.00
1.818	0.00
1.869	0.00
1.920	0.00
1.971	0.00
2.021	0.00
2.071	0.00
2.122	0.00
2.172	0.00
2.223	0.00
2.274	0.00
2.324	0.00
2.375	0.00
2.425	0.00
2.476	0.00
2.527	0.00
2.577	0.00
2.628	0.00
2.678	0.00
2.728	0.00
2.780	0.00
2.830	0.00
2.880	0.00
2.931	0.00
2.981	0.00
3.033	0.00
3.083	0.00
3.133	0.00
3.184	0.00
3.234	0.00
3.284	0.00
3.336	0.00
3.386	0.00
3.437	0.00
3.487	0.00
3.537	0.00
3.589	0.00
3.639	0.00
3.689	0.00
3.740	0.00
3.790	0.00
3.842	0.00
3.892	0.00
3.942	0.00
3.993	0.00
4.043	0.00
4.094	0.00
4.145	0.00
4.195	0.00
4.246	0.00
4.296	0.00
4.346	0.00
4.398	0.00
4.448	0.00
4.499	0.00
4.549	0.00
4.599	0.00
4.651	0.00
4.701	0.00
4.751	0.00
4.802	0.00
4.852	0.00
4.903	0.00
4.954	0.00
5.004	0.00
5.055	0.00
5.105	0.00
5.155	0.00
5.207	0.00
5.257	0.00
5.308	0.00
5.358	0.00
5.408	0.00
5.459	0.00
5.510	0.00
5.560	0.00
5.611	0.00
5.661	0.00
5.712	0.00
5.763	0.00
5.813	0.00
5.864	0.00
5.914	0.00
5.965	0.00
6.016	0.00
6.066	0.00
6.117	0.00
6.167	0.00
6.217	0.00
6.268	0.00
6.319	0.00
6.370	0.00
6.420	0.00
6.470	0.00
6.521	0.00
6.572	0.00
6.622	0.00
6.673	0.00
6.723	0.00
6.774	0.00
6.824	0.00
6.875	0.00
6.926	0.00
6.976	0.00
7.026	0.00
7.077	0.00
7.128	0.00
7.179	0.00
7.229	0.00
7.279	0.00
7.330	0.00
7.380	0.00
7.432	0.00
7.482	0.00
7.532	0.00
7.583	0.00
7.633	0.00
7.684	0.00
7.735	0.00
7.785	0.00
7.836	0.00
7.886	0.00
7.937	0.00
7.988	0.00
8.038	0.00
8.089	0.00
8.139	0.00
8.189	0.00
8.241	0.00
8.291	0.00
8.341	0.00
8.392	0.00
8.442	0.00
8.494	0.00
8.544	0.00
8.594	0.00
8.645	0.00
8.695	0.00
8.745	0.00
8.797	0.00
8.847	0.00
8.898	0.00
8.948	0.00
8.998	0.00
9.050	0.00
9.100	0.00
9.150	0.00
9.201	0.00
9.251	0.00
9.303	0.00
9.353	0.00
9.403	0.00
9.454	0.00
9.504	0.00
9.555	0.00
9.606	0.00
9.656	0.00
9.707	0.00
9.757	0.00
9.807	0.00
9.859	0.00
9.909	0.00
9.960	0.00
