t	T	P
0.0	101.66	103949.17
1.001	101.66	103949.17
2.002	101.66	103949.17
3.004	101.66	103577.71
4.006	101.66	103577.71
5.008	101.66	103949.17
6.009	101.66	103577.71
7.012	101.66	103577.71
8.013	101.66	103577.71
9.015	102.15	103577.71
10.017	101.66	103577.71
11.019	101.66	103577.71
12.02	102.15	103577.71
13.023	102.15	103577.71
14.024	102.15	103577.71
15.026	102.15	103949.17
16.028	102.15	104320.64
17.03	102.15	104320.64
18.031	102.15	104320.64
19.034	102.15	104320.64
20.035	102.15	104320.64
21.037	102.15	104320.64
22.039	102.15	104320.64
23.041	102.15	104320.64
24.042	102.15	104320.64
25.044	102.15	104320.64
26.046	102.15	104320.64
27.047	102.15	103949.17
28.05	102.15	104320.64
29.051	102.15	103949.17
30.053	102.15	103949.17
31.055	102.15	103949.17
32.057	102.15	103949.17
33.058	102.15	103577.71
34.061	102.15	103577.71
35.062	102.15	103577.71
36.065	102.15	103577.71
37.066	102.15	103206.25
38.068	102.15	103206.25
39.07	102.15	103206.25
40.072	102.15	103206.25
41.073	102.15	103206.25
42.076	102.15	103206.25
43.077	102.15	102834.81
44.079	102.15	102834.81
45.081	102.15	102834.81
46.083	102.15	102834.81
47.084	102.15	102834.81
48.087	102.15	102463.35
49.088	102.15	102463.35
50.089	102.15	102463.35
51.092	102.15	102463.35
52.093	102.15	102091.89
53.095	102.15	102091.89
54.097	102.15	102091.89
55.099	102.15	101720.44
56.1	102.15	101720.44
57.103	102.15	101720.44
58.104	102.15	101348.98
59.106	102.15	101348.98
60.108	102.15	100977.53
61.11	101.66	100977.53
62.111	101.66	100977.53
63.114	101.66	100606.06
64.115	101.66	100606.06
65.117	101.66	100234.6
66.119	101.66	100234.6
67.121	101.66	99863.15
68.122	101.66	99863.15
69.125	101.66	99491.69
70.126	101.66	99491.69
71.128	101.66	99491.69
72.13	101.66	99120.24
73.132	101.66	98748.78
74.133	101.66	98748.78
75.136	101.66	98748.78
76.137	101.17	98377.32
77.138	101.17	98377.32
78.14	101.17	98005.87
79.142	101.17	98005.87
80.144	101.17	98005.87
81.145	101.17	97634.41
82.148	101.17	97262.96
83.149	101.17	97262.96
84.151	101.17	97262.96
85.153	101.17	96891.5
86.155	101.17	96891.5
87.156	100.68	96520.04
88.158	100.68	96520.04
89.16	100.68	96148.59
90.162	100.68	96148.59
91.163	100.68	96148.59
92.166	100.68	95777.13
93.167	100.68	95405.67
94.169	100.68	95405.67
95.171	100.68	95034.22
96.173	100.2	95034.22
97.174	100.2	95034.22
98.176	100.2	94662.76
99.178	100.2	94662.76
100.179	100.2	94662.76
101.181	100.2	94291.31
102.183	100.2	94291.31
103.185	100.2	93919.85
104.186	100.2	93919.85
105.189	100.2	93548.39
106.19	100.2	93548.39
107.192	99.71	93548.39
108.194	99.71	93176.93
109.196	99.71	93176.93
110.197	99.71	92805.48
111.2	99.71	92805.48
112.201	99.71	92434.02
113.203	99.71	92434.02
114.205	99.71	92434.02
115.207	99.71	92062.57
116.208	99.71	92062.57
117.21	99.22	91691.11
118.212	99.22	91691.11
119.214	99.22	91319.65
120.215	99.22	91319.65
121.218	99.22	91319.65
122.219	99.22	90948.2
123.22	99.22	90948.2
124.223	99.22	90576.74
125.224	99.22	90576.74
126.226	98.73	90205.28
127.228	98.73	90205.28
128.23	98.73	90205.28
129.231	98.73	89833.83
130.233	98.73	89833.83
131.235	98.73	89462.37
132.237	98.73	89462.37
133.238	98.73	89090.92
134.241	98.24	89090.92
135.242	98.24	89090.92
136.244	98.24	88719.46
137.246	98.24	88719.46
138.248	98.24	88719.46
139.249	98.24	88348.0
140.251	98.24	88348.0
141.253	98.24	87976.54
142.255	98.24	87976.54
143.256	98.24	87976.54
144.259	98.24	87605.09
145.26	97.75	87605.09
146.262	97.75	87233.63
147.263	97.75	87233.63
148.265	97.75	86862.17
149.267	97.75	86862.17
150.268	97.75	86862.17
151.271	97.75	86490.72
152.272	97.75	86490.72
153.274	97.26	86490.72
154.276	97.26	86119.26
155.278	97.26	86119.26
156.279	97.26	85747.81
157.282	97.26	85747.81
158.283	97.26	85747.81
159.285	97.26	85376.35
160.286	97.26	85376.35
161.289	96.77	85004.89
162.29	96.77	85004.89
163.292	96.77	85004.89
164.294	96.77	84633.44
165.296	96.77	84261.98
166.297	96.77	84261.98
167.3	96.77	84261.98
168.301	96.29	84261.98
169.303	96.29	83890.52
170.304	96.29	83890.52
171.307	96.29	83519.07
172.308	96.29	83519.07
173.309	96.29	83519.07
174.312	96.29	83519.07
175.313	96.29	83147.6
176.315	95.8	83147.6
177.317	95.8	83147.6
178.319	95.8	82776.15
179.32	95.8	82404.7
180.322	95.8	82404.7
181.324	95.8	82404.7
182.326	95.8	82033.24
183.327	95.31	82033.24
184.33	95.8	81661.78
185.331	95.31	81661.78
186.333	95.31	81661.78
187.335	95.31	81290.33
188.337	95.31	80918.87
189.338	94.82	80918.87
190.34	94.82	80918.87
191.342	94.82	80918.87
192.344	94.82	80547.42
193.345	94.82	80547.42
194.348	94.33	80175.96
195.349	94.33	80175.96
196.35	94.33	80175.96
197.353	94.33	79804.5
198.354	94.33	79804.5
199.356	93.84	79433.04
200.357	93.84	79433.04
