t	T	P
0.0	73.8	79804.5
1.001	73.8	79804.5
2.002	73.8	79804.5
3.004	73.8	79804.5
4.005	73.8	79804.5
5.007	73.8	79804.5
6.009	73.8	79804.5
7.011	73.8	79804.5
8.012	73.31	79804.5
9.014	73.31	79804.5
10.015	73.31	79804.5
11.018	73.31	79804.5
12.019	73.31	79804.5
13.021	73.31	79804.5
14.023	73.31	80175.96
15.025	73.31	80175.96
16.026	73.31	80175.96
17.028	73.31	80175.96
18.03	73.31	80175.96
19.032	73.31	80175.96
20.033	73.31	80175.96
21.035	73.31	80175.96
22.037	73.31	80175.96
23.038	73.31	80175.96
24.04	72.83	80175.96
25.041	72.83	80175.96
26.044	72.83	80175.96
27.045	72.83	80175.96
28.047	72.83	80175.96
29.048	72.83	80175.96
30.051	72.83	80547.42
31.052	72.83	80547.42
32.054	72.83	80547.42
33.055	72.83	80547.42
34.058	72.83	80547.42
35.059	72.34	80918.87
36.061	72.34	80918.87
37.062	72.34	80918.87
38.065	72.34	80918.87
39.066	72.34	81290.33
40.068	72.34	81290.33
41.069	72.83	81290.33
