t	a
0.014	1.1674505760685545
0.038	1.1886792079026138
0.084	1.3983853123455101
0.131	1.5416127075205122
0.179	1.389090351207593
0.226	1.3641951708579623
0.272	1.0173472004501432
0.319	0.7736321182268984
0.365	0.7857796324064108
0.41	0.4894886216080561
0.456	0.6292331779115783
0.501	0.7028412423414712
0.545	0.8829667788414888
0.593	1.2870705062505614
0.64	1.6503820193790766
0.685	1.7850801711203197
0.733	1.6962251921315517
0.78	1.350653609799525
0.827	1.0178665832253506
0.873	0.6954296628516199
0.919	0.6198169344701481
0.965	0.4172866590656085
1.01	0.6502595354481508
1.057	0.6104385307009861
1.104	1.1167176083255044
1.154	1.4821475525332606
1.2	1.8609851371807176
1.249	1.6528487624241723
1.298	1.5555265249122767
1.344	1.22644833606571
1.392	0.9521468293002142
1.441	0.5881708326963625
1.488	0.6604121057725472
1.534	0.6125488762604574
1.583	0.7583292567282366
1.63	1.0234054550174585
1.677	1.339789950766376
1.726	1.5799754443720695
1.775	1.715319919454131
1.824	1.6164336073664165
1.87	1.2857050856314658
1.918	1.0587260158387861
1.967	0.5694981548558027
2.013	0.4764908391279915
2.06	0.5577459279469474
2.108	0.5971834869814737
2.156	0.7860029196329216
2.203	0.9585524937565225
2.251	1.4534350151871664
2.299	1.656008336707994
2.347	1.530378896017509
2.396	1.4581034668080926
2.444	1.2332118249357733
2.492	0.9115026839554946
2.539	0.5603613975770672
2.586	0.6160706443538903
2.633	0.5026636562334037
2.678	0.8326596158981369
2.726	0.8725914015911298
2.775	1.2514022951925436
2.823	1.4704369786380467
2.87	1.593437326161034
2.918	1.6247513735766523
2.966	1.4111878951141714
3.013	1.0931827813469979
3.06	0.6254931422955105
3.107	0.5140732549882016
3.155	0.6309212767581304
3.201	0.5283306357262688
3.248	0.8529738009501733
3.296	1.0852825804218942
3.343	1.2961147637983543
3.391	1.484067758161382
3.439	1.6932697649504043
3.486	1.522145316297943
3.533	1.2044786812521793
3.581	0.8900942597780912
3.631	0.4770172474147669
3.677	0.6648562088280916
3.723	0.5104784764556319
3.77	0.7523417489911577
3.817	0.8525731752556005
3.864	1.2888156887073332
3.912	1.3932231166137554
3.96	1.9087215837455436
4.007	1.6889246034107028
4.055	1.3840085508530715
4.104	1.4064834066603948
4.152	0.7885051737053308
4.199	0.6924298298370614
4.247	0.6393796018532508
4.295	0.5611111359217001
4.341	0.7890520788177424
4.388	0.8644636760907024
4.436	1.2715760374036122
4.485	1.2895026358484263
4.532	1.8801077146856504
4.579	1.4113288406906028
4.627	1.4895558553831347
4.675	1.2544996374561752
4.724	0.6476685995337739
4.773	0.6636123041015962
4.819	0.5112533830118468
4.866	0.6604648528172686
4.913	0.8329628975884636
4.96	1.0848957401518975
5.007	1.2551112610887791
5.055	1.6482622513820164
5.102	1.6419620405243094
5.151	1.5629242902156792
5.199	1.1459823401797866
5.249	0.8319505559333923
5.296	0.6657148899632935
5.343	0.4435283676594136
5.389	0.626709373433885
5.436	0.7646856991855667
5.483	0.9810846830143567
5.53	1.185634782323456
5.578	1.3346901364834294
5.626	1.6154032371089566
5.675	1.485539938878152
5.724	1.5262825661978303
5.773	1.193074533012562
5.822	0.7911623460935625
5.868	0.6182095753914614
5.915	0.601782259631405
5.962	0.6057787187599278
6.008	0.9414005340918796
6.056	0.8839526632233288
6.105	1.318772818136831
6.153	1.5090465831415325
6.201	1.6655281506002508
6.25	1.4184482228137563
6.299	1.251402362869316
6.348	0.7579925386063907
6.394	0.6751921668069649
6.443	0.5630232332193559
6.49	0.6105343447232265
6.536	0.767130345197486
6.583	0.881725485288051
6.631	1.0984595127547223
6.679	1.3151154578589959
6.726	1.6075796651460275
6.775	1.603892158279424
6.824	1.6314738619656002
6.873	1.1587811481769412
6.922	0.7828157131062973
6.97	0.4604506336906628
7.017	0.7190455280158169
7.063	0.619551069977074
7.11	0.9370997021562445
7.158	1.020521553316371
7.205	1.3028941810946353
7.254	1.6141499884792543
7.303	1.8145650042946273
7.352	1.45311702339272
7.4	1.303038477787439
7.449	0.7963374789907007
7.496	0.6674707685253667
7.544	0.6474181842126361
7.59	0.5746032391903266
7.638	0.791576185257959
7.685	0.8149611467385496
7.732	1.145399619234279
7.78	1.454208103557706
7.829	1.7603214039188582
7.878	1.7612307400860014
7.926	1.5825666871496848
7.975	1.1804400243305708
8.023	0.8591177488730464
8.07	0.6379531611970826
8.117	0.8240647290189609
8.164	0.6331150913255896
8.211	1.0195004027537284
8.259	0.9153890215762143
8.307	1.3360855761764279
8.354	1.5871879959583395
8.402	1.7409346682886657
8.452	1.5083850952786455
8.5	1.3102014425807582
8.548	1.0126155222462654
8.595	0.6880249422933469
8.643	0.6296417616951868
8.69	0.6137636204246658
8.736	0.726830764882611
8.783	0.8937537488460372
8.832	1.1439271431342437
8.88	1.5134413913198037
8.927	1.647110483023343
8.976	1.7836488049085253
9.025	1.5003629682090336
9.074	1.2394201023131055
9.121	0.888050572301166
9.169	0.603454803695444
9.217	0.6467900631696537
9.263	0.7318093471726745
9.31	0.7936411837778079
9.357	0.8716053951513277
9.404	1.3619929666904904
9.451	1.5503594468317619
9.498	1.9153169222153865
9.547	1.6495028461433803
9.595	1.3150463998707689
9.643	1.036422759888369
9.691	0.6400406664876057
9.737	0.5357690448221729
9.784	0.7024680818847976
9.83	0.5742578985009476
9.877	0.8021775356011682
9.923	1.0040464942237552
9.97	1.4854489668798898
